job title,company name,location,skills
Senior Python Developer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced  4+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Agile  APIs  AWS  Computer Science  Git  Linux  Python  REST
Senior Python Developer,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced  3 - 5 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Applications  Computer Science  Design  Engineering  Implementation  Software Development  Information Technology (IT)  Mathematics
Senior Python Developer,Houya Arrow -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced  3+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  Computer Science  Development  Software  Software Development  SDLC  Web  Web Applications
Senior Python Backend Developer,Tqniat Lab L.L.C -,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeExperienced  3+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  Information Technology (IT)  Computer Science  Software Development  Django  Linux  NodeJS  MySQL
Senior Full Stack Instructor (PHP - Python),Confidential -,"Cairo, Egypt ",Full TimeExperienced  6 - 7 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Training/Instructor  PHP  PHP Development  PHP Web Development  Python  python development  CSS3  HTML5
Python Developer For Job portal,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced  4+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  backend  Computer Science  Django  Flask  Git  Information Technology (IT)  postgres  Python
Senior Python Linux Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Full TimeExperienced  3 - 5 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Software Development  Python  C++  Information Technology (IT)  Computer Science  SQL  Programming  Electronics
Python Developer,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced  3+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Development  Django  Information Technology (IT)  Design  Python  Quality Assurance  SDLC
Python Developer,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced  2 - 3 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Django  Design  Docker  Flask  Git  Information Technology (IT)  Python
Senior Software Engineer (Python),ITWORX -,"Nasr City, Cairo, Egypt ",Full TimeExperienced  3 - 5 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Information Technology (IT)  Python  Django  AWS  Software Engineering  Software Development  PostgreSQL
Python Full Stack Instructor,AMIT -,"Maadi, Cairo, Egypt ",Full TimeEntry Level  1+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Training/Instructor  Python  Django  Django Framework  Flask  HTML  CSS  JavaScript
Junior Python Developer,RDI -,"Dokki, Giza, Egypt ",Full TimeEntry Level  1+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  SQL  MySQL  RESTful  JavaScript  Django  Flask  Docker
Odoo Developer - ERP,Confidential -,"Mokattam, Cairo, Egypt ",Full TimeExperienced  2 - 3 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Development  Information Technology (IT)  Odoo  Odoo Development  Python
ERP (Odoo) / IT Specialist,Confidential -,"Mohandessin, Giza, Egypt ",Full TimeExperienced  5 - 7 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  ERP  Finance  Python  Programming  Accounting  Information Technology (IT)  Computer Science  Computer Engineering
Senior Software Engineer / Tech Lead (Remote),Confidential -,"Cairo, Egypt ",Full TimeWork From HomeManager  10 - 15 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  Software Development  SaaS  Django  React  Redux  MySQL  AWS
